report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price,priorwk_ad_count,priorwk_wtd_avg_price,prioryr_ad_count,prioryr_wtd_avg_price
12/6/2024,Midwest,Fruit,Clementines,N/A,No,3 lb bag,N/A,3.99,6.99,359,4.55,,,,
12/6/2024,Midwest,Fruit,Cherries,RED VARIETIES,No,per lb,N/A,4.99,6.99,144,5.98,,,,
12/6/2024,Midwest,Fruit,Cantaloupes,N/A,No,each,N/A,2.79,3.99,261,3.61,,,,
12/6/2024,Midwest,Fruit,Blueberries,N/A,Yes,6 oz package,N/A,2.99,2.99,35,2.99,,,,
12/6/2024,Midwest,Fruit,Blueberries,N/A,Yes,1 pint (11-12 oz cntr w/ lid),N/A,5.54,5.54,134,5.54,,,,
12/6/2024,Midwest,Fruit,Blueberries,N/A,No,6 oz package,N/A,2.5,2.5,60,2.5,,,,
12/6/2024,Midwest,Fruit,Blueberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,1.98,5.99,2125,2.59,,,,
12/6/2024,Midwest,Fruit,Blueberries,N/A,No,18 oz package,N/A,2.99,5.99,222,4.74,,,,
12/6/2024,Midwest,Fruit,Blackberries,N/A,No,5.6-6 oz package,N/A,0.99,3.99,2022,2.49,,,,
12/6/2024,Midwest,Fruit,Bananas,N/A,Yes,per lb,N/A,0.99,0.99,14,0.99,,,,
12/6/2024,Midwest,Fruit,Bananas,N/A,No,per lb,N/A,0.49,0.59,48,0.56,,,,
12/6/2024,Midwest,Fruit,Avocados,Hass-Marked Medium,No,each,N/A,0.5,0.8,74,0.74,,,,
12/6/2024,Midwest,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.5,1.67,181,1.56,,,,
12/6/2024,Midwest,Fruit,Avocados,Hass-Marked Extra Large,No,each,N/A,0.99,1.99,30,1.33,,,,
12/6/2024,Midwest,Fruit,Avocados,Hass-Marked Small,No,each,N/A,0.5,0.78,24,0.62,,,,
12/6/2024,Midwest,Fruit,Avocados,HASS,No,each,N/A,0.5,2.5,1291,0.8,,,,
12/6/2024,Midwest,Fruit,Apples,Gala/Royal Gala,Yes,2 lb bag,N/A,3.99,3.99,14,3.99,,,,
